-999 -999 -999    -1.95699 -999.00000    4.00000 -999.00000 -999.00000
-999 -999 -999     1.54978 -999.00000    3.94750 -999.00000 -999.00000
-999 -999 -999     0.26504 -999.00000    3.93083 -999.00000 -999.00000
-999 -999 -999     5.17038 -999.00000    3.97004 -999.00000 -999.00000
-999 -999 -999     0.03047 -999.00000    4.00539 -999.00000 -999.00000
-999 -999 -999    -7.47038 -999.00000    3.84984 -999.00000 -999.00000
-999 -999 -999    -6.32461 -999.00000    3.60379 -999.00000 -999.00000
-999 -999 -999    -7.97874 -999.00000    3.35798 -999.00000 -999.00000
-999 -999 -999    -7.26496 -999.00000    3.10589 -999.00000 -999.00000
-999 -999 -999    -0.82475 -999.00000    2.96978 -999.00000 -999.00000
-999 -999 -999     7.37751 -999.00000    3.05922 -999.00000 -999.00000
-999 -999 -999     0.05096 -999.00000    3.16010 -999.00000 -999.00000
-999 -999 -999     1.41381 -999.00000    3.16892 -999.00000 -999.00000
-999 -999 -999     6.02700 -999.00000    3.26842 -999.00000 -999.00000
-999 -999 -999    -1.39444 -999.00000    3.32350 -999.00000 -999.00000
-999 -999 -999     5.38974 -999.00000    3.36817 -999.00000 -999.00000
-999 -999 -999     7.67854 -999.00000    3.54918 -999.00000 -999.00000
-999 -999 -999     2.24441 -999.00000    3.67833 -999.00000 -999.00000
-999 -999 -999     3.50561 -999.00000    3.74161 -999.00000 -999.00000
-999 -999 -999    10.18799 -999.00000    3.92365 -999.00000 -999.00000
-999 -999 -999     3.29005 -999.00000    4.09797 -999.00000 -999.00000
-999 -999 -999    -3.92555 -999.00000    4.05493 -999.00000 -999.00000
-999 -999 -999    -3.43840 -999.00000    3.91222 -999.00000 -999.00000
-999 -999 -999    -3.23453 -999.00000    3.78531 -999.00000 -999.00000
-999 -999 -999    -0.81884 -999.00000    3.70235 -999.00000 -999.00000
-999 -999 -999     0.92920 -999.00000    3.68535 -999.00000 -999.00000
-999 -999 -999     1.26063 -999.00000    3.70097 -999.00000 -999.00000
-999 -999 -999    -4.17673 -999.00000    3.63990 -999.00000 -999.00000
-999 -999 -999    -5.97190 -999.00000    3.47228 -999.00000 -999.00000
-999 -999 -999    -6.05755 -999.00000    3.28188 -999.00000 -999.00000
-999 -999 -999     2.36695 -999.00000    3.22348 -999.00000 -999.00000
-999 -999 -999   -11.02641 -999.00000    3.09258 -999.00000 -999.00000
-999 -999 -999    -8.60519 -999.00000    2.80073 -999.00000 -999.00000
-999 -999 -999    -0.12906 -999.00000    2.68237 -999.00000 -999.00000
